ip, bytes, time, TTL
216.58.222.36,64,65.605,52
216.58.222.36,64,67.486,52
216.58.222.36,64,65.334,52
216.58.222.36,64,65.523,52
216.58.222.36,64,68.019,52
216.58.222.36,64,66.037,52
216.58.222.36,64,65.849,52
216.58.222.36,64,65.880,52
216.58.222.36,64,65.804,52
216.58.222.36,64,66.445,52
216.58.222.36,64,65.222,52
216.58.222.36,64,65.640,52
216.58.222.36,64,65.878,52
216.58.222.36,64,65.765,52
216.58.222.36,64,69.024,52
216.58.222.36,64,68.512,52
216.58.222.36,64,69.461,52
216.58.222.36,64,68.650,52
216.58.222.36,64,65.975,52
216.58.222.36,64,68.837,52
216.58.222.36,64,68.761,52
216.58.222.36,64,69.070,52
216.58.222.36,64,66.328,52
216.58.222.36,64,134.705,52
216.58.222.36,64,68.834,52
216.58.222.36,64,68.163,52
216.58.222.36,64,68.809,52
216.58.222.36,64,68.359,52
216.58.222.36,64,65.926,52
216.58.222.36,64,68.886,52
216.58.222.36,64,68.223,52
216.58.222.36,64,65.784,52
216.58.222.36,64,66.349,52
216.58.222.36,64,68.873,52
216.58.222.36,64,68.585,52
216.58.222.36,64,66.543,52
216.58.222.36,64,65.332,52
216.58.222.36,64,66.056,52
216.58.222.36,64,65.619,52
216.58.222.36,64,65.774,52
216.58.222.36,64,65.965,52
216.58.222.36,64,68.869,52
216.58.222.36,64,65.932,52
216.58.222.36,64,68.545,52
216.58.222.36,64,68.956,52
216.58.222.36,64,68.639,52
216.58.222.36,64,65.985,52
216.58.222.36,64,68.229,52
216.58.222.36,64,65.789,52
216.58.222.36,64,68.500,52
216.58.222.36,64,68.336,52
216.58.222.36,64,66.062,52
216.58.222.36,64,66.680,52
216.58.222.36,64,68.717,52
216.58.222.36,64,65.931,52
216.58.222.36,64,66.719,52
216.58.222.36,64,66.949,52
216.58.222.36,64,71.454,52
216.58.222.36,64,66.175,52
216.58.222.36,64,65.787,52
216.58.222.36,64,66.006,52
216.58.222.36,64,68.396,52
216.58.222.36,64,66.189,52
216.58.222.36,64,68.675,52
216.58.222.36,64,69.045,52
216.58.222.36,64,66.328,52
216.58.222.36,64,66.054,52
216.58.222.36,64,65.994,52
216.58.222.36,64,66.426,52
216.58.222.36,64,68.764,52
216.58.222.36,64,65.773,52
216.58.222.36,64,65.817,52
216.58.222.36,64,66.184,52
216.58.222.36,64,67.182,52
216.58.222.36,64,70.703,52
216.58.222.36,64,70.171,52
216.58.222.36,64,68.348,52
216.58.222.36,64,65.893,52
216.58.222.36,64,66.692,52
216.58.222.36,64,66.058,52
216.58.222.36,64,66.220,52
216.58.222.36,64,65.872,52
216.58.222.36,64,66.047,52
216.58.222.36,64,66.248,52
216.58.222.36,64,66.075,52
216.58.222.36,64,70.089,52
216.58.222.36,64,66.303,52
216.58.222.36,64,68.896,52
216.58.222.36,64,68.511,52
216.58.222.36,64,68.651,52
216.58.222.36,64,68.719,52
216.58.222.36,64,68.666,52
216.58.222.36,64,66.108,52
216.58.222.36,64,68.516,52
216.58.222.36,64,68.610,52
216.58.222.36,64,68.952,52
216.58.222.36,64,68.883,52
216.58.222.36,64,69.177,52
216.58.222.36,64,68.922,52
216.58.222.36,64,68.616,52
216.58.222.36,64,68.787,52
216.58.222.36,64,68.903,52
216.58.222.36,64,68.409,52
216.58.222.36,64,68.109,52
216.58.222.36,64,68.803,52
216.58.222.36,64,66.558,52
216.58.222.36,64,65.981,52
216.58.222.36,64,66.201,52
216.58.222.36,64,66.526,52
216.58.222.36,64,66.587,52
216.58.222.36,64,65.647,52
216.58.222.36,64,65.982,52
216.58.222.36,64,65.943,52
216.58.222.36,64,68.476,52
NA,NA,NA,NA
216.58.222.36,64,74.835,53
216.58.222.36,64,86.106,53
216.58.222.36,64,88.468,53
216.58.222.36,64,82.337,53
216.58.222.36,64,67.576,53
216.58.222.36,64,79.004,53
216.58.222.36,64,590.572,53
216.58.222.36,64,90.225,53
216.58.222.36,64,75.357,53
216.58.222.36,64,75.272,53
216.58.222.36,64,66.386,53
216.58.222.36,64,68.395,53
216.58.222.36,64,127.647,53
216.58.222.36,64,67.297,53
216.58.222.36,64,79.791,53
216.58.222.36,64,74.028,53
216.58.222.36,64,67.911,53
216.58.222.36,64,70.753,53
216.58.222.36,64,66.509,53
216.58.222.36,64,66.985,53
216.58.222.36,64,66.267,53
216.58.222.36,64,68.473,53
216.58.222.36,64,67.010,53
216.58.222.36,64,67.051,53
216.58.222.36,64,64.354,53
216.58.222.36,64,64.218,53
216.58.222.36,64,64.602,53
216.58.222.36,64,64.004,53
216.58.222.36,64,66.966,53
216.58.222.36,64,80.618,53
216.58.222.36,64,64.296,53
216.58.222.36,64,66.753,53
216.58.222.36,64,72.133,53
216.58.222.36,64,70.101,53
216.58.222.36,64,67.331,53
216.58.222.36,64,63.968,53
216.58.222.36,64,66.730,53
216.58.222.36,64,67.204,53
216.58.222.36,64,71.780,53
216.58.222.36,64,65.495,53
216.58.222.36,64,64.281,53
216.58.222.36,64,69.298,53
216.58.222.36,64,68.854,53
216.58.222.36,64,66.420,53
216.58.222.36,64,68.049,53
216.58.222.36,64,71.873,53
216.58.222.36,64,68.131,53
216.58.222.36,64,67.586,53
216.58.222.36,64,66.487,53
216.58.222.36,64,67.363,53
216.58.222.36,64,67.101,53
216.58.222.36,64,72.166,53
216.58.222.36,64,77.146,53
216.58.222.36,64,66.536,53
216.58.222.36,64,66.671,53
216.58.222.36,64,65.854,53
216.58.222.36,64,71.475,53
216.58.222.36,64,66.552,53
216.58.222.36,64,67.452,53
216.58.222.36,64,73.952,53
216.58.222.36,64,65.598,53
216.58.222.36,64,65.876,53
216.58.222.36,64,68.379,53
216.58.222.36,64,77.066,53
216.58.222.36,64,66.677,53
216.58.222.36,64,67.297,53
216.58.222.36,64,66.140,53
216.58.222.36,64,64.487,53
216.58.222.36,64,63.595,53
216.58.222.36,64,89.723,53
216.58.222.36,64,84.385,53
216.58.222.36,64,78.536,53
216.58.222.36,64,83.511,53
216.58.222.36,64,83.209,53
216.58.222.36,64,79.794,53
216.58.222.36,64,66.533,53
216.58.222.36,64,66.716,53
216.58.222.36,64,83.454,53
